username, created_at, lng, lat, text
ChanaDErickson, Fri Apr 24 03:08:38 +0000 2020, -92.436774, 38.304558, This man is so sweet and funny🥰 reminding me to bring my stuff over this weekend. @rwhite342 https://t.co/lzKQ6DmD9f 
6ixxshitt, Fri Apr 24 03:08:38 +0000 2020, -90.110051, 29.881880, @lahperk 😭 pj cool sum games 
DunDunItAll850, Fri Apr 24 03:08:38 +0000 2020, -85.608115, 30.168579, Sean Payton on that couch chillin dead good 
RonnCott, Fri Apr 24 03:08:38 +0000 2020, -94.983932, 29.507978, @comradeddie Ok, Bb. ✌🏾🙃🥺👉🏽👈🏽 https://t.co/h0elyGEs04 
beanhopcurdvine, Fri Apr 24 03:08:38 +0000 2020, -75.117998, 40.004866, @Tylerhartling @RealDGunnNBCS I don’t disagree 
JadaB__, Fri Apr 24 03:08:38 +0000 2020, -82.063185, 33.440717, It’s really over🥺💔 https://t.co/pjZt9AUhFp 
1LilDuff, Fri Apr 24 03:08:38 +0000 2020, -77.236969, 38.805115, @TaskforceCam 🤣🤣 you was supposed to say "i got a family to feed too, be blessed" LMAOOOOOO 
prettygirlmajae, Fri Apr 24 03:08:38 +0000 2020, -96.761753, 32.819858, what is this ? 
foresports, Fri Apr 24 03:08:39 +0000 2020, -70.292545, 43.696187, @JeffXnbury What else is on? 
N0BLE0X, Fri Apr 24 03:08:39 +0000 2020, -118.411907, 34.020789, Men get YOSELF a @manscaped damn I ain’t never felt more relax to trim without hesitating. Today was good day. 
SayeedShoab, Fri Apr 24 03:08:39 +0000 2020, -93.606369, 41.576437, @DrCarlaC He’s messed up😵 
MischiefSilver, Fri Apr 24 03:08:39 +0000 2020, -117.397616, 33.935822, @StrahdVonZ I have so many damn books on my hd I need to read. 
Moises59490648, Fri Apr 24 03:08:39 +0000 2020, -100.168717, 25.778679, @telediariomty El transporte ya esta reducido, desde mucho tiempo atras, antes que empezara la pandemia 
iam_MR713, Fri Apr 24 03:08:39 +0000 2020, -95.446486, 29.838495, OMG!! They know their names too. 😍😍 
